OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-09-01T07:00:38.718720,13.76168688,.00275125,90.2125,65.1051,87.2666,85.8324,0,U,900,999,3168,.10028528E-2,.988E-5,0
CALSPHERE 2,1964-063E,2025-09-01T07:16:44.255136,13.52870134,.00181963,90.2257,68.9966,352.3206,129.6724,0,U,902,999,81720,.10743681E-3,.8E-6,0
LCS 1,1965-034C,2025-09-01T04:09:18.243648,9.89309331,.00132574,32.1386,143.2439,180.0941,179.9555,0,U,1361,999,18126,-.89922712E-3,.2E-7,0
TEMPSAT 1,1965-065E,2025-09-01T04:28:58.744992,13.33570512,.0069092,89.9806,212.7791,341.8756,28.3846,0,U,1512,999,92153,.13685249E-3,.77E-6,0
CALSPHERE 4A,1965-065H,2025-09-01T03:06:57.475296,13.36212533,.00684904,89.9175,125.1287,198.1300,311.2464,0,U,1520,999,92410,.22189502E-3,.125E-5,0
OPS 5712 (P/L 160),1967-053A,2025-09-01T05:25:17.061888,14.71647497,.00010794,69.9207,23.4954,51.6418,308.4823,0,U,2826,999,2362,.22620588E-2,.1406E-3,0
LES-5,1967-066E,2025-08-31T16:55:30.666720,1.09425184,.00525144,1.9572,106.5833,194.5398,118.0818,0,U,2866,999,12786,0,-.52E-6,0
SURCAL 159,1967-053F,2025-09-01T06:39:30.409920,13.99496190,.00046974,69.9720,262.9031,155.1797,204.9537,0,U,2872,999,96978,.15996404E-3,.18E-5,0
OPS 5712 (P/L 153),1967-053H,2025-09-01T02:27:33.427008,13.96763971,.00090026,69.9763,14.9051,227.2693,132.7656,0,U,2874,999,96641,.10476298E-3,.92E-6,0
SURCAL 150B,1967-053J,2025-09-01T05:31:55.663104,15.39552675,.00025948,69.9158,262.5740,296.5486,63.5427,0,U,2909,999,3739,.53268994E-2,.215985E-2,0
OPS 3811 (DSP 2),1971-039A,2025-09-01T01:01:36.156576,0.98159843,.00208152,0.5390,295.0223,346.2916,163.2370,0,U,5204,999,20339,0,-.7E-7,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-09-01T04:44:21.563520,14.37302308,.00624807,87.6147,59.0182,110.7425,250.0485,0,U,5398,999,83236,.54214078E-3,.1671E-4,0
OSCAR 7 (AO-7),1974-089B,2025-09-01T06:18:59.385312,12.53691157,.00120433,101.9975,249.4270,324.1985,46.6354,0,U,7530,999,32431,.88142303E-4,-.32E-6,0
STARLETTE,1975-010A,2025-09-01T05:01:21.520704,13.82344760,.02056891,49.8237,165.2391,188.3903,171.3529,0,U,7646,999,55456,.3341128E-5,-.138E-5,0
LAGEOS 1,1976-039A,2025-08-31T20:28:54.300000,6.38664917,.00446551,109.8471,80.2452,4.1896,1.7430,0,U,8820,999,89466,0,.34E-6,0
OPS 8701 (DSP 10),1982-019A,2025-08-31T19:39:16.089408,0.98189402,.00044332,9.8813,311.2536,273.5697,90.1351,0,U,13086,999,2282,0,-.43E-6,0
PHASE 3B (AO-10),1983-058B,2025-08-30T11:03:39.298464,2.05871819,.60690173,26.3867,268.8224,34.7182,353.0350,0,U,14129,999,28950,0,-.209E-5,0
UOSAT 2 (UO-11),1984-021B,2025-09-01T05:43:12.880128,14.89611029,.00092555,97.7625,208.9975,65.3284,294.8897,0,U,14781,999,21409,.32519861E-3,.3053E-4,0
