OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,25544,999,52695,.20478129E-3,.11389E-3,0
CSS (TIANHE),2021-035A,2025-09-01T05:12:25.075296,15.58810247,.00064076,41.4648,279.8683,269.9123,90.0981,0,U,48274,999,24801,.37321867E-3,.29468E-3,0
ISS (NAUKA),2021-066A,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,49044,999,23044,.20478129E-3,.11389E-3,0
FREGAT DEB,2011-037PF,2025-09-01T00:10:07.401504,12.32797547,.0954475,51.6325,143.3211,358.6572,1.1760,0,U,49271,999,18925,.39106537E-1,.22861E-3,0
CSS (WENTIAN),2022-085A,2025-09-01T05:12:25.075296,15.58810247,.00064076,41.4648,279.8683,269.9123,90.0981,0,U,53239,999,17384,.37321867E-3,.29468E-3,0
CSS (MENGTIAN),2022-143A,2025-09-01T05:12:25.075296,15.58810247,.00064076,41.4648,279.8683,269.9123,90.0981,0,U,54216,999,15864,.37321867E-3,.29468E-3,0
PROGRESS-MS 30,2025-041B,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,63129,999,2691,.20478129E-3,.11389E-3,0
SOYUZ-MS 27,2025-072A,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,63520,999,2020,.20478129E-3,.11389E-3,0
SHENZHOU-20 (SZ-20),2025-082A,2025-09-01T05:12:25.075296,15.58810247,.00064076,41.4648,279.8683,269.9123,90.0981,0,U,63632,999,23717,.37321867E-3,.29468E-3,0
PROGRESS-MS 31,2025-146A,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,64751,999,675,.20478129E-3,.11389E-3,0
TIANZHOU-9,2025-149A,2025-09-01T05:12:25.075296,15.58810247,.00064076,41.4648,279.8683,269.9123,90.0981,0,U,64786,999,511,.37321867E-3,.29468E-3,0
CREW DRAGON 11,2025-166A,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,65077,999,214,.20478129E-3,.11389E-3,0
DRAGON CRS-33,2025-186A,2025-09-01T04:49:39.999360,15.50340466,.00033592,51.6340,290.3139,300.8027,59.2631,0,U,65304,999,11,.20478129E-3,.11389E-3,0
