OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2025-03-11T10:57:43.125696,15.49898291,.0006403,51.6365,71.0872,10.0539,87.4368,0,U,25544,999,50000,.27212E-3,.15056E-3,0
CSS (TIANHE),2021-035A,2025-03-11T04:32:20.749920,15.61304257,.0006963,41.4635,257.4107,322.4137,37.6214,0,U,48274,999,22083,.20312E-3,.17478E-3,0
ISS (NAUKA),2021-066A,2025-03-10T20:36:57.919680,15.49878056,.00064,51.6353,74.0496,7.1788,352.9291,0,U,49044,999,20595,.21929E-3,.1203E-3,0
FREGAT DEB,2011-037PF,2025-03-08T16:12:57.124224,12.27890519,.090855,51.6599,301.3428,335.1230,20.8289,0,U,49271,999,16755,.19934E-1,.8999E-4,0
CSS (WENTIAN),2022-085A,2025-03-10T20:51:47.564928,15.61292560,.0007021,41.4636,259.3590,320.7247,39.3082,0,U,53239,999,21494,.2139E-3,.18418E-3,0
CSS (MENGTIAN),2022-143A,2025-03-10T20:51:47.564928,15.61292560,.0007021,41.4636,259.3590,320.7247,39.3082,0,U,54216,999,13387,.2139E-3,.18418E-3,0
CYGNUS NG-21,2024-139A,2025-03-10T20:36:57.919680,15.49878056,.00064,51.6353,74.0496,7.1788,352.9291,0,U,60378,999,3386,.21929E-3,.1203E-3,0
SOYUZ-MS 26,2024-162A,2025-03-10T20:36:57.919680,15.49878056,.00064,51.6353,74.0496,7.1788,352.9291,0,U,61043,999,49985,.21929E-3,.1203E-3,0
CREW DRAGON 9,2024-178A,2025-03-10T20:36:57.919680,15.49878056,.00064,51.6353,74.0496,7.1788,352.9291,0,U,61447,999,2525,.21929E-3,.1203E-3,0
SHENZHOU-19 (SZ-19),2024-194A,2025-03-10T20:51:47.564928,15.61292560,.0007021,41.4636,259.3590,320.7247,39.3082,0,U,61683,999,22041,.2139E-3,.18418E-3,0
TIANZHOU-8,2024-211A,2025-03-10T20:51:47.564928,15.61292560,.0007021,41.4636,259.3590,320.7247,39.3082,0,U,61983,999,1629,.2139E-3,.18418E-3,0
PROGRESS-MS 29,2024-215A,2025-03-10T20:36:57.919680,15.49878056,.00064,51.6353,74.0496,7.1788,352.9291,0,U,62030,999,1410,.21929E-3,.1203E-3,0
2024-013E,2024-013E,2025-03-10T19:57:20.704032,16.12146143,.0037524,41.4650,239.8091,278.3487,81.3117,0,U,62056,999,1879,.63649E-3,.818921E-2,.76107E-5
1998-067XC,1998-067XC,2025-03-11T03:44:22.163712,15.80438428,.0007065,51.6254,63.9992,17.7325,342.3922,0,U,62296,999,1435,.15458E-2,.310267E-2,0
YOMOGI,1998-067XE,2025-03-10T16:46:08.883552,15.81139981,.0007483,51.6236,66.1901,18.0123,342.1143,0,U,62298,999,1428,.15488E-2,.321554E-2,0
ISS DEB,1998-067XG,2025-03-10T17:18:25.984512,15.76043159,.0006907,51.6296,67.8764,23.7445,336.3872,0,U,62376,999,1265,.15722E-2,.257416E-2,0
PROGRESS-MS 30,2025-041B,2025-03-10T20:36:57.919680,15.49878056,.00064,51.6353,74.0496,7.1788,352.9291,0,U,63129,999,162,.21929E-3,.1203E-3,0
